"Date","Price","Open","High","Low","Vol.","Change %"
"29/06/2025","17.48","17.19","17.67","16.14","","7.11%"
"22/06/2025","16.32","21.15","22.51","16.11","","-20.85%"
"15/06/2025","20.62","19.78","22.75","18.67","","-0.96%"
"08/06/2025","20.82","17.69","22.00","16.23","","24.15%"
"01/06/2025","16.77","19.81","20.45","16.65","","-9.69%"
"25/05/2025","18.57","20.75","21.01","18.11","","-16.69%"
"18/05/2025","22.29","19.84","25.53","17.70","","29.29%"
"11/05/2025","17.24","19.84","20.44","17.15","","-21.28%"
"04/05/2025","21.90","24.25","25.62","21.83","","-3.44%"
"27/04/2025","22.68","25.75","28.17","22.34","","-8.70%"
"20/04/2025","24.84","32.75","35.75","24.84","","-16.22%"
"13/04/2025","29.65","34.76","35.17","28.29","","-21.06%"
"06/04/2025","37.56","60.13","60.13","31.90","","-17.10%"
"30/03/2025","45.31","24.11","45.61","20.68","","109.28%"
"23/03/2025","21.65","19.13","22.18","16.97","","12.29%"
"16/03/2025","19.28","22.89","22.95","19.15","","-11.44%"
"09/03/2025","21.77","24.70","29.57","21.48","","-6.85%"
"02/03/2025","23.37","19.83","26.56","19.25","","19.05%"
"23/02/2025","19.63","18.08","22.40","17.31","","7.80%"
"16/02/2025","18.21","15.38","19.03","15.05","","23.29%"
"09/02/2025","14.77","16.58","17.18","14.74","","-10.70%"
"02/02/2025","16.54","20.36","20.42","14.79","","0.67%"
"26/01/2025","16.43","18.83","22.51","14.90","","10.64%"
"19/01/2025","14.85","16.46","16.59","14.58","","-7.01%"
"12/01/2025","15.97","21.18","22.04","15.53","","-18.27%"
"05/01/2025","19.54","16.77","20.31","15.71","","21.14%"
"29/12/2024","16.13","17.21","19.50","16.11","0.00K","1.13%"
"22/12/2024","15.95","18.09","20.02","14.27","0.00K","-13.13%"
"15/12/2024","18.36","14.37","28.32","13.99","","32.95%"
"08/12/2024","13.81","13.36","14.54","13.24","","8.14%"
"01/12/2024","12.77","14.08","14.10","12.70","","-5.48%"
"24/11/2024","13.51","15.23","15.72","13.49","","-11.35%"
"17/11/2024","15.24","16.60","18.79","15.24","","-5.58%"
"10/11/2024","16.14","15.33","17.55","13.59","","8.03%"
"03/11/2024","14.94","22.50","23.07","14.66","","-31.72%"
"27/10/2024","21.88","19.11","23.42","18.91","","7.62%"
"20/10/2024","20.33","18.78","20.51","18.05","","12.76%"
"13/10/2024","18.03","20.86","21.01","17.99","","-11.88%"
"06/10/2024","20.46","20.76","23.14","20.14","","6.51%"
"29/09/2024","19.21","17.01","20.75","16.47","","13.27%"
"22/09/2024","16.96","16.71","16.97","14.90","","5.02%"
"15/09/2024","16.15","17.16","19.39","15.81","","-2.48%"
"08/09/2024","16.56","21.32","21.41","16.23","","-26.01%"
"01/09/2024","22.38","15.87","23.76","15.48","","49.20%"
"25/08/2024","15.00","16.27","17.89","14.78","","-5.42%"
"18/08/2024","15.86","15.94","18.06","14.46","","7.16%"
"11/08/2024","14.80","20.79","21.19","14.65","","-27.34%"
"04/08/2024","20.37","23.39","65.73","20.26","","-12.91%"
"28/07/2024","23.39","16.59","29.66","15.71","","42.71%"
"21/07/2024","16.39","16.79","19.36","13.90","","-0.79%"
"14/07/2024","16.52","12.78","17.19","10.62","","32.58%"
"07/07/2024","12.46","12.91","13.33","12.11","","-0.16%"
"30/06/2024","12.48","12.98","13.26","11.84","","0.32%"
"23/06/2024","12.44","13.85","13.88","11.87","","-5.76%"
"16/06/2024","13.20","13.07","13.78","12.18","","4.27%"
"09/06/2024","12.66","13.09","13.47","11.88","","3.60%"
"02/06/2024","12.22","13.08","14.31","12.11","","-5.42%"
"26/05/2024","12.92","12.41","14.88","12.35","","8.30%"
"19/05/2024","11.93","12.27","13.37","11.52","","-0.50%"
