"Date","Price","Open","High","Low","Vol.","Change %"
"20/03/2025","24.690","25.560","25.784","24.092","6.74M","-3.74%"
"19/03/2025","25.650","26.445","26.510","24.620","11.48M","-2.29%"
"18/03/2025","26.250","27.760","27.780","26.200","7.05M","-6.32%"
"17/03/2025","28.020","27.740","28.720","27.160","7.56M","-0.46%"
"14/03/2025","28.150","26.550","28.250","25.700","8.40M","7.77%"
"13/03/2025","26.120","27.522","27.840","25.860","8.50M","-5.22%"
"12/03/2025","27.560","29.990","30.800","27.020","11.72M","-3.84%"
"11/03/2025","28.660","28.960","29.930","27.300","11.10M","-1.65%"
"10/03/2025","29.140","32.110","32.800","28.340","15.38M","-12.75%"
"07/03/2025","33.400","31.400","34.060","29.550","17.17M","3.79%"
"06/03/2025","32.180","32.640","35.490","30.820","21.83M","-4.79%"
"05/03/2025","33.800","30.120","34.100","28.950","27.62M","18.14%"
"04/03/2025","28.610","24.520","30.700","24.480","24.47M","11.67%"
"03/03/2025","25.620","29.080","29.100","24.890","15.09M","-5.50%"
"28/02/2025","27.110","25.470","27.560","25.010","9.55M","3.95%"
"27/02/2025","26.080","28.060","29.152","25.930","12.10M","-4.26%"
"26/02/2025","27.240","28.565","30.990","27.000","16.79M","4.09%"
"25/02/2025","26.170","27.700","28.170","25.722","13.08M","-8.40%"
"24/02/2025","28.570","28.390","29.140","26.100","14.65M","-0.24%"
"21/02/2025","28.640","31.505","31.840","28.590","9.85M","-9.45%"
"20/02/2025","31.630","30.915","32.110","28.870","10.79M","1.48%"
"19/02/2025","31.170","31.060","33.180","30.720","12.15M","0.87%"
"18/02/2025","30.900","32.895","33.550","30.670","12.72M","-3.74%"
"14/02/2025","32.100","30.180","32.470","29.370","14.03M","6.82%"
"13/02/2025","30.050","27.700","30.770","27.050","13.31M","8.84%"
"12/02/2025","27.610","28.470","29.140","27.300","10.92M","-2.78%"
"11/02/2025","28.400","30.595","30.800","28.350","13.41M","-8.80%"
"10/02/2025","31.140","27.395","32.970","27.395","33.86M","17.47%"
"07/02/2025","26.510","27.760","28.757","25.860","14.61M","-2.25%"
"06/02/2025","27.120","25.445","27.610","25.300","19.74M","9.75%"
"05/02/2025","24.710","23.200","24.750","23.190","10.87M","7.02%"
"04/02/2025","23.090","21.950","23.829","21.900","12.35M","7.55%"
"03/02/2025","21.470","18.890","21.930","18.860","11.87M","6.08%"
"31/01/2025","20.240","19.240","22.190","18.920","26.56M","11.15%"
"30/01/2025","18.210","18.520","18.960","18.200","8.85M","2.77%"
"29/01/2025","17.720","19.540","19.550","17.500","19.27M","-12.02%"
"28/01/2025","20.140","19.650","20.309","18.730","7.82M","5.11%"
"27/01/2025","19.160","19.770","20.640","18.930","9.71M","-5.85%"
"24/01/2025","20.350","20.450","20.670","19.800","12.05M","2.78%"
"23/01/2025","19.800","19.150","19.950","18.801","35.06M","-11.96%"
"22/01/2025","22.490","23.220","23.740","22.420","8.09M","-2.64%"
"21/01/2025","23.100","20.900","23.120","20.900","7.81M","11.16%"
"17/01/2025","20.780","21.380","21.541","20.730","5.15M","-1.05%"
"16/01/2025","21.000","21.520","21.940","20.980","3.39M","-2.51%"
"15/01/2025","21.540","21.200","22.040","20.952","4.51M","5.18%"
"14/01/2025","20.480","21.470","21.900","20.366","4.84M","-2.80%"
"13/01/2025","21.070","21.600","21.630","19.150","8.90M","-5.81%"
"10/01/2025","22.370","21.730","22.430","21.345","4.17M","-0.62%"
"08/01/2025","22.510","22.510","22.730","21.730","4.72M","-2.13%"
"07/01/2025","23.000","24.270","24.273","22.810","4.45M","-4.72%"
"06/01/2025","24.140","24.770","25.180","23.980","7.11M","0.71%"
"03/01/2025","23.970","21.700","24.050","21.680","8.63M","10.77%"
"02/01/2025","21.640","21.140","22.237","20.900","4.53M","2.56%"
"31/12/2024","21.100","22.020","22.160","20.870","5.21M","-3.26%"
"30/12/2024","21.810","22.500","22.580","20.810","8.95M","-4.84%"
"27/12/2024","22.920","24.610","25.060","22.820","6.30M","-7.13%"
"26/12/2024","24.680","23.380","24.850","22.850","5.01M","5.07%"
"24/12/2024","23.490","23.290","23.790","23.020","2.29M","1.03%"
"23/12/2024","23.250","22.980","23.400","22.060","4.75M","1.62%"
"20/12/2024","22.880","22.500","23.500","22.000","9.61M","-0.52%"
"19/12/2024","23.000","23.440","24.260","22.880","5.77M","-1.54%"
"18/12/2024","23.360","24.690","25.850","22.770","8.19M","-5.73%"
"17/12/2024","24.780","24.300","25.680","24.070","7.01M","1.98%"
"16/12/2024","24.300","23.300","24.700","22.840","6.72M","3.49%"
"13/12/2024","23.480","23.060","23.740","22.850","4.76M","0.64%"
"12/12/2024","23.330","23.410","24.220","23.100","4.12M","-0.98%"
"11/12/2024","23.560","24.590","24.790","23.450","5.12M","-3.28%"
"10/12/2024","24.360","25.580","26.675","24.330","6.77M","-6.25%"
"09/12/2024","25.985","27.740","29.440","25.860","17.47M","2.63%"
"06/12/2024","25.320","22.820","25.640","22.700","13.14M","12.48%"
"05/12/2024","22.510","22.660","23.180","21.620","7.27M","-0.57%"
"04/12/2024","22.640","22.900","23.520","22.510","5.42M","-1.18%"
"03/12/2024","22.910","23.230","24.040","22.650","5.82M","-1.34%"
"02/12/2024","23.220","24.120","24.750","23.170","7.41M","-2.48%"
"29/11/2024","23.810","23.535","24.525","23.360","4.27M","2.23%"
"27/11/2024","23.290","23.940","24.950","23.060","6.97M","-0.43%"
"26/11/2024","23.390","23.892","24.400","22.910","8.30M","-3.39%"
"25/11/2024","24.210","24.630","26.075","23.850","10.80M","0.46%"
"22/11/2024","24.100","24.030","24.720","23.370","6.10M","-0.17%"
"21/11/2024","24.140","24.070","24.930","23.210","11.43M","2.35%"
"20/11/2024","23.585","25.550","26.110","23.223","9.31M","-9.77%"
"19/11/2024","26.140","25.130","26.270","24.105","7.41M","1.32%"
"18/11/2024","25.800","24.340","26.990","23.770","14.53M","6.48%"
"15/11/2024","24.230","23.180","24.280","21.512","17.84M","-9.59%"
"14/11/2024","26.800","29.000","29.790","26.370","18.25M","-3.91%"
"13/11/2024","27.890","26.000","31.220","25.700","26.56M","14.96%"
"12/11/2024","24.260","24.560","25.400","23.902","7.18M","-2.02%"
"11/11/2024","24.760","22.550","24.880","22.300","11.11M","12.60%"
"08/11/2024","21.990","21.310","22.160","21.100","7.36M","2.49%"
"07/11/2024","21.455","22.880","23.840","20.200","21.95M","-4.73%"
"06/11/2024","22.520","23.890","24.300","22.350","10.20M","-6.67%"
"05/11/2024","24.130","23.950","24.360","23.130","6.50M","0.79%"
"04/11/2024","23.940","23.570","24.300","23.270","6.58M","0.38%"
"01/11/2024","23.850","24.210","24.750","23.370","5.99M","0.17%"
"31/10/2024","23.810","24.940","25.330","23.520","6.88M","-5.25%"
"30/10/2024","25.130","26.980","27.830","25.120","9.27M","-6.86%"
"29/10/2024","26.980","26.740","27.260","26.010","5.85M","0.94%"
"28/10/2024","26.730","25.965","27.480","25.790","8.94M","4.33%"
"25/10/2024","25.620","25.125","27.386","24.640","14.70M","2.19%"
"24/10/2024","25.070","27.540","30.550","24.910","23.93M","-4.53%"
"23/10/2024","26.260","27.500","27.730","25.500","7.58M","-5.84%"
"22/10/2024","27.890","27.290","29.614","26.950","10.98M","0.90%"
"21/10/2024","27.640","28.520","28.910","26.080","9.81M","-1.78%"
"18/10/2024","28.140","28.790","29.338","27.070","8.00M","-1.23%"
"17/10/2024","28.490","27.840","28.980","26.738","11.17M","0.96%"
"16/10/2024","28.220","24.760","28.360","24.450","14.43M","16.37%"
"15/10/2024","24.250","24.440","24.980","23.810","7.85M","-3.46%"
"14/10/2024","25.120","24.240","25.690","23.750","11.30M","3.89%"
"11/10/2024","24.180","23.070","24.340","22.920","7.29M","4.81%"
"10/10/2024","23.070","22.350","23.250","21.904","7.20M","2.03%"
"09/10/2024","22.610","24.170","24.290","22.350","9.43M","-6.57%"
"08/10/2024","24.200","24.544","25.290","24.010","6.49M","-2.85%"
"07/10/2024","24.910","25.940","26.320","24.740","9.12M","-4.60%"
"04/10/2024","26.110","23.810","26.390","23.670","12.41M","12.45%"
"03/10/2024","23.220","23.670","24.500","22.930","9.62M","-2.60%"
"02/10/2024","23.840","23.980","24.290","23.010","8.76M","-1.10%"
"01/10/2024","24.105","25.900","25.950","23.420","12.26M","-7.82%"
"30/09/2024","26.150","25.500","27.250","24.970","15.97M","3.28%"
"27/09/2024","25.320","23.150","25.560","21.680","24.27M","6.25%"
"26/09/2024","23.830","24.630","25.350","23.820","9.86M","-2.30%"
"25/09/2024","24.390","25.800","25.920","24.360","10.99M","-5.65%"
"24/09/2024","25.850","26.440","26.900","25.270","8.43M","-2.86%"
"23/09/2024","26.610","26.620","27.101","25.910","7.28M","0.42%"
"20/09/2024","26.500","28.450","28.840","25.670","18.87M","-7.38%"
"19/09/2024","28.610","29.150","30.510","28.030","14.70M","1.10%"
"18/09/2024","28.300","28.340","29.650","27.460","10.94M","1.07%"
"17/09/2024","28.000","30.370","30.600","27.604","13.55M","-6.17%"
"16/09/2024","29.840","28.965","29.980","27.400","13.32M","0.03%"
"13/09/2024","29.830","26.790","30.930","26.500","25.79M","11.35%"
"12/09/2024","26.790","26.700","27.050","23.540","25.22M","-3.98%"
"11/09/2024","27.900","26.890","28.385","26.000","16.14M","6.86%"
"10/09/2024","26.110","26.240","26.690","24.370","15.13M","0.66%"
"09/09/2024","25.940","26.630","28.250","25.610","13.43M","-0.65%"
"06/09/2024","26.110","28.710","29.580","25.800","17.65M","-8.22%"
"05/09/2024","28.450","29.280","30.430","26.400","41.45M","-14.00%"
"04/09/2024","33.080","31.990","36.540","28.900","43.76M","12.48%"
"03/09/2024","29.410","29.300","29.849","28.030","9.86M","1.27%"
"30/08/2024","29.040","28.970","31.600","27.930","16.17M","-0.72%"
"29/08/2024","29.250","27.900","30.440","27.710","15.88M","4.95%"
"28/08/2024","27.870","29.910","30.600","27.570","20.57M","-10.41%"
"27/08/2024","31.110","33.010","34.870","30.431","14.78M","-7.90%"
"26/08/2024","33.780","33.490","34.310","30.740","17.62M","2.80%"
"23/08/2024","32.860","34.590","37.160","32.080","25.74M","-3.75%"
"22/08/2024","34.140","36.700","36.700","33.510","20.02M","-6.31%"
"21/08/2024","36.440","34.130","39.080","32.425","36.38M","6.18%"
"20/08/2024","34.320","38.795","38.990","31.913","32.42M","-11.09%"
"19/08/2024","38.600","31.350","38.850","30.830","37.78M","24.40%"
"16/08/2024","31.030","30.370","36.870","27.710","68.77M","-1.05%"
"15/08/2024","31.360","21.800","33.580","21.580","75.97M","50.70%"
"14/08/2024","20.810","21.110","21.730","19.771","10.50M","-0.72%"
"13/08/2024","20.960","19.950","21.150","19.360","7.37M","6.23%"
"12/08/2024","19.730","20.960","22.080","19.510","11.27M","-6.98%"
"09/08/2024","21.210","22.830","23.040","20.500","14.80M","-4.97%"
"08/08/2024","22.320","19.880","22.360","19.590","13.37M","13.65%"
"07/08/2024","19.640","19.700","21.900","19.350","14.94M","0.56%"
"06/08/2024","19.530","19.300","19.960","18.080","10.26M","5.06%"
"05/08/2024","18.590","17.950","20.097","17.110","15.06M","0.43%"
"02/08/2024","18.510","19.760","20.210","18.230","10.15M","-9.44%"
"01/08/2024","20.440","20.370","21.210","19.250","14.93M","-1.16%"
"31/07/2024","20.680","17.890","21.280","17.401","16.77M","18.04%"
"30/07/2024","17.520","18.990","20.370","16.980","12.63M","-7.15%"
"29/07/2024","18.870","18.795","19.590","17.890","13.04M","0.16%"
"26/07/2024","18.840","16.970","19.480","16.890","24.66M","13.22%"
"25/07/2024","16.640","13.650","16.800","13.600","23.05M","24.55%"
"24/07/2024","13.360","13.550","14.058","13.260","5.42M","-3.47%"
"23/07/2024","13.840","12.790","14.290","12.750","8.70M","8.12%"
"22/07/2024","12.800","13.120","13.130","12.370","4.18M","-0.31%"
"19/07/2024","12.840","12.440","13.480","12.240","5.37M","3.72%"
"18/07/2024","12.380","13.620","13.665","12.320","6.76M","-7.61%"
"17/07/2024","13.400","13.500","14.034","12.880","4.83M","-2.26%"
"16/07/2024","13.710","13.560","13.965","13.150","5.95M","1.71%"
"15/07/2024","13.480","12.600","13.680","12.570","7.48M","3.61%"
"12/07/2024","13.010","11.880","13.140","11.710","10.82M","9.33%"
"11/07/2024","11.900","11.860","12.200","11.410","4.81M","0.17%"
"10/07/2024","11.880","12.170","12.217","11.520","4.86M","-2.14%"
"09/07/2024","12.140","12.000","12.270","11.700","4.91M","0.33%"
"08/07/2024","12.100","12.375","13.090","11.920","10.60M","-2.42%"
"05/07/2024","12.400","11.420","12.470","10.980","10.68M","9.06%"
"03/07/2024","11.370","10.730","11.540","10.670","4.32M","6.06%"
"02/07/2024","10.720","10.850","10.980","10.170","6.93M","-1.11%"
"01/07/2024","10.840","11.850","12.600","10.780","10.72M","-6.63%"
"28/06/2024","11.610","11.450","11.930","11.280","14.04M","1.40%"
"27/06/2024","11.450","10.920","11.840","10.850","7.06M","1.96%"
"26/06/2024","11.230","10.870","11.712","10.780","6.98M","2.28%"
"25/06/2024","10.980","10.210","11.030","9.320","8.48M","6.29%"
"24/06/2024","10.330","10.490","10.769","10.010","6.70M","2.48%"
"21/06/2024","10.080","11.000","11.000","10.020","10.24M","-10.16%"
