"Date","Price","Open","High","Low","Vol.","Change %"
"20/02/2025","162.09","160.30","162.84","159.46","2.35M","1.14%"
"19/02/2025","160.26","158.83","162.39","158.52","2.09M","2.23%"
"18/02/2025","156.76","161.19","161.59","154.38","2.50M","-0.15%"
"14/02/2025","156.99","156.88","160.58","153.26","3.07M","0.53%"
"13/02/2025","156.17","155.46","157.15","154.29","2.26M","0.46%"
"12/02/2025","155.46","161.19","161.31","155.14","2.39M","-4.04%"
"11/02/2025","162.01","162.90","164.64","161.70","1.72M","0.22%"
"10/02/2025","161.66","159.69","161.75","159.32","1.70M","2.23%"
"07/02/2025","158.13","160.66","161.00","157.90","1.97M","-1.19%"
"06/02/2025","160.03","166.24","166.40","158.99","2.12M","-2.87%"
"05/02/2025","164.76","165.90","165.90","161.51","1.99M","-0.93%"
"04/02/2025","166.30","163.84","167.59","160.57","1.99M","1.11%"
"03/02/2025","164.48","165.18","165.98","161.59","2.22M","0.07%"
"31/01/2025","164.36","169.53","169.87","163.94","2.92M","-3.55%"
"30/01/2025","170.41","172.32","173.01","169.44","1.28M","-0.26%"
"29/01/2025","170.86","168.99","171.58","167.72","1.32M","0.95%"
"28/01/2025","169.25","171.45","173.46","167.16","1.73M","-1.37%"
"27/01/2025","171.60","173.66","175.69","170.21","1.77M","-0.96%"
"24/01/2025","173.26","177.16","177.69","172.51","1.94M","-1.91%"
"23/01/2025","176.63","179.08","180.29","175.83","1.89M","-0.54%"
"22/01/2025","177.59","176.23","179.65","174.97","1.61M","0.36%"
"21/01/2025","176.95","178.44","178.73","175.77","2.15M","-1.79%"
"17/01/2025","180.18","180.36","180.91","178.53","1.81M","0.59%"
"16/01/2025","179.12","178.62","180.17","177.65","1.38M","-0.25%"
"15/01/2025","179.56","178.49","180.25","177.68","1.67M","1.06%"
"14/01/2025","177.68","177.00","178.87","175.68","1.73M","0.04%"
"13/01/2025","177.61","176.07","180.09","175.71","3.04M","1.62%"
"10/01/2025","174.77","174.89","177.26","171.70","2.73M","2.21%"
"08/01/2025","170.99","171.55","173.00","169.47","1.67M","-0.83%"
"07/01/2025","172.42","170.24","173.28","169.25","2.13M","1.64%"
"06/01/2025","169.64","171.77","175.08","168.82","2.12M","-0.77%"
"03/01/2025","170.96","168.35","171.93","167.68","2.02M","2.51%"
"02/01/2025","166.78","166.15","168.22","165.20","1.79M","1.80%"
"31/12/2024","163.83","160.99","164.26","160.69","2.49M","1.77%"
"30/12/2024","160.98","158.51","161.95","157.36","2.09M","1.67%"
"27/12/2024","158.34","157.87","159.55","156.77","1.72M","0.20%"
"26/12/2024","158.03","158.28","159.59","156.70","1.16M","0.16%"
"24/12/2024","157.77","157.43","158.10","155.20","823.24K","1.07%"
"23/12/2024","156.10","154.96","156.58","153.73","2.11M","0.75%"
"20/12/2024","154.94","152.16","156.22","152.00","7.84M","1.23%"
"19/12/2024","153.06","158.60","159.34","152.83","2.96M","-1.93%"
"18/12/2024","156.08","161.02","161.74","155.97","2.55M","-2.54%"
"17/12/2024","160.14","157.90","160.34","155.80","2.71M","0.76%"
"16/12/2024","158.93","162.66","162.66","158.51","2.37M","-2.70%"
"13/12/2024","163.34","162.61","164.04","161.00","1.72M","0.68%"
"12/12/2024","162.23","163.71","164.04","161.93","1.63M","-1.02%"
"11/12/2024","163.90","164.36","164.80","162.54","2.66M","0.46%"
"10/12/2024","163.15","167.72","167.89","162.58","2.30M","-2.38%"
"09/12/2024","167.12","169.52","169.98","166.73","1.78M","0.17%"
"06/12/2024","166.83","171.85","171.90","164.81","3.11M","-3.39%"
"05/12/2024","172.68","171.45","174.13","171.45","2.16M","0.99%"
"04/12/2024","170.99","176.00","176.32","168.69","2.44M","-2.71%"
"03/12/2024","175.76","178.04","178.27","174.33","1.80M","-0.04%"
"02/12/2024","175.83","177.77","178.28","173.93","1.72M","-0.99%"
"29/11/2024","177.59","176.20","178.41","176.01","820.29K","0.79%"
"27/11/2024","176.19","176.52","178.80","175.90","1.49M","0.13%"
"26/11/2024","175.97","179.73","180.55","175.13","2.47M","-1.99%"
"25/11/2024","179.55","184.49","184.59","178.92","2.96M","-3.10%"
"22/11/2024","185.29","182.00","186.07","181.50","2.19M","1.42%"
"21/11/2024","182.70","183.25","185.68","182.50","2.14M","0.68%"
"20/11/2024","181.46","180.04","182.58","180.00","1.65M","0.74%"
"19/11/2024","180.12","180.62","182.75","179.09","1.63M","-0.98%"
"18/11/2024","181.90","178.49","183.65","177.60","1.97M","3.00%"
"15/11/2024","176.60","182.42","183.99","176.00","2.12M","-3.19%"
"14/11/2024","182.42","182.85","184.09","180.50","1.37M","0.10%"
"13/11/2024","182.24","181.00","183.62","177.50","1.47M","1.30%"
"12/11/2024","179.91","180.48","182.49","179.79","1.79M","0.44%"
"11/11/2024","179.13","181.96","182.09","179.00","2.80M","-1.51%"
"08/11/2024","181.88","180.60","182.18","179.23","2.58M","0.16%"
"07/11/2024","181.59","182.46","183.21","179.41","1.73M","-1.11%"
"06/11/2024","183.62","180.00","185.79","177.00","3.02M","4.55%"
"05/11/2024","175.63","174.90","178.89","173.72","3.69M","-2.30%"
"04/11/2024","179.76","178.19","181.33","177.50","1.92M","2.25%"
"01/11/2024","175.81","177.40","178.86","175.08","1.95M","-0.54%"
"31/10/2024","176.77","178.35","179.13","175.79","2.03M","0.07%"
"30/10/2024","176.65","176.86","178.23","175.64","1.57M","0.58%"
